building,lat,long,name,url
Mosse Humanities Building, 43.07428782745076, -89.40002294589057 ,Humanities basement,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20117.jpg?alt=media
Noland Hall, 43.07160698284936, -89.40445703239915 ,2nd floor of Nolan’s hall desk near this aquarium,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5524625509122322894_base64_5_1676653350.jpg?alt=media
Noland Hall, 43.07160698284936, -89.40445703239915 ,5th floor Noland random desk,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5524627319123826420_base64_5_1676653531.jpg?alt=media
Political Science, 43.076246999168156, -89.40292686207913 ,Poly sci lounge north hall,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2090.jpg?alt=media
Red Gym, 43.07619626064146, -89.3983797170543 ,red gym study spaces,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/Latinx_CC_RedGym20_4968-1024x681.jpg?alt=media
Russel Laboratories, 43.075587720421126, -89.41311757472664 ,Basement of russel labs,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2032.jpg?alt=media
Russell Laboratories, 43.075587720421126, -89.41311757472664 ,First floor of russel labs,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2033.jpg?alt=media
School of Human Ecology, 43.075668840221134, -89.40894111890736 ,Sohe patio,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2023.jpg?alt=media
School of Human Ecology, 43.075668840221134, -89.4089411189073 ,Sohe badger market,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2024.jpg?alt=media
School of Human Ecology, 43.075668840221134, -89.4089411189072 ,Bench with printer sohe 4th floor,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2020.jpg?alt=media
School of Human Ecology, 43.075668840221134, -89.4089411189071 ,Sohe 3rd floor wing lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2022.jpg?alt=media
School of Human Ecology, 43.075668840221134, -89.4089411189070 ,Floor 3 ecology,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2017.jpg?alt=media
School of Human Ecology, 43.075668840221134, -89.4089411189069 ,Sohe 3rd floor couch area,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2021.jpg?alt=media
School of Human Ecology, 43.075668840221134, -89.4089411189068 ,Ecology 2nd floor,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2018.jpg?alt=media
School of Human Ecology, 43.075668840221134, -89.4089411189067 ,Sohe 1st floor lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2019.jpg?alt=media
School of Social Work Building, 43.07450756409705, -89.40825184774357 ,Walkway to the school of social work,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5528103530126324886_base64_5_1677001153.jpg?alt=media
Science Hall, 43.075941939871896, -89.4010777900712 ,Science hall corner,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20118.jpg?alt=media
Science Hall, 43.075941939871896, -89.4010777900711 ,Map library science hall,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20121.jpg?alt=media
Science Hall, 43.075941939871896, -89.4010777900710 ,Science hall computer lab,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20120.jpg?alt=media
Science Hall, 43.075941939871896, -89.4010777900709 ,Science hall room 280,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20122.jpg?alt=media
Science Hall, 43.075941939871896, -89.4010777900708 ,Science hall basement,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20123.jpg?alt=media
Science Hall, 43.075941939871896, -89.4010777900707 ,Science hall commons,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20124.jpg?alt=media
Science Hall, 43.075941939871896, -89.4010777900706 ,Science hall 3rd floor,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20119.jpg?alt=media
